rule,lam,bits,rounding,scale,n_seeds,current_mean,current_std,stale_mean,stale_std,write_lsb_mean,unchanged_frac_mean
hebbian,0.99,32,,,3,0.7970,0.0036,0.1177,0.0055,nan,0.0000
hebbian,0.99,bf16,,,3,0.7970,0.0038,0.1174,0.0054,nan,0.0266
hebbian,0.99,8,nearest,static,3,0.7995,0.0040,0.1240,0.0053,1.6980,0.3234
hebbian,0.99,8,nearest,dynamic,3,0.7965,0.0044,0.1165,0.0065,2.6577,0.2053
hebbian,0.99,8,stochastic,static,3,0.7964,0.0037,0.1178,0.0045,1.6980,0.2994
hebbian,0.99,8,stochastic,dynamic,3,0.7992,0.0044,0.1144,0.0065,2.6544,0.1959
hebbian,0.99,4,nearest,static,3,0.1473,0.0164,0.5701,0.0067,0.0936,0.9877
hebbian,0.99,4,nearest,dynamic,3,0.0068,0.0020,0.7939,0.0076,0.0649,0.9913
hebbian,0.99,4,stochastic,static,3,0.6699,0.0085,0.1510,0.0062,0.0936,0.9034
hebbian,0.99,4,stochastic,dynamic,3,0.5467,0.0051,0.1715,0.0067,0.0608,0.9341
hebbian,0.995,32,,,3,0.7227,0.0083,0.2567,0.0113,nan,0.0000
hebbian,0.995,bf16,,,3,0.7235,0.0078,0.2554,0.0110,nan,0.0421
hebbian,0.995,8,nearest,static,3,0.6965,0.0095,0.2860,0.0102,1.2271,0.4052
hebbian,0.995,8,nearest,dynamic,3,0.7194,0.0073,0.2588,0.0093,1.9954,0.2631
hebbian,0.995,8,stochastic,static,3,0.7194,0.0072,0.2585,0.0088,1.2271,0.3736
hebbian,0.995,8,stochastic,dynamic,3,0.7194,0.0037,0.2576,0.0058,1.9891,0.2491
hebbian,0.995,4,nearest,static,3,0.0402,0.0060,0.4152,0.0313,0.0676,0.9972
hebbian,0.995,4,nearest,dynamic,3,0.0047,0.0008,0.6807,0.0035,0.0444,0.9938
hebbian,0.995,4,stochastic,static,3,0.5221,0.0092,0.3044,0.0012,0.0676,0.9310
hebbian,0.995,4,stochastic,dynamic,3,0.2479,0.0012,0.2557,0.0022,0.0391,0.9578
hebbian,0.997,32,,,3,0.5778,0.0115,0.4108,0.0109,nan,0.0000
hebbian,0.997,bf16,,,3,0.5770,0.0112,0.4116,0.0110,nan,0.0603
hebbian,0.997,8,nearest,static,3,0.5311,0.0087,0.4569,0.0096,1.0040,0.4582
hebbian,0.997,8,nearest,dynamic,3,0.5763,0.0117,0.4121,0.0112,1.6552,0.3095
hebbian,0.997,8,stochastic,static,3,0.5754,0.0112,0.4116,0.0097,1.0040,0.4214
hebbian,0.997,8,stochastic,dynamic,3,0.5762,0.0106,0.4118,0.0110,1.6491,0.2910
hebbian,0.997,4,nearest,static,3,0.0246,0.0012,0.2894,0.0060,0.0553,0.9991
hebbian,0.997,4,nearest,dynamic,3,0.0049,0.0008,0.6538,0.0052,0.0372,0.9942
hebbian,0.997,4,stochastic,static,3,0.3436,0.0044,0.4098,0.0030,0.0553,0.9441
hebbian,0.997,4,stochastic,dynamic,3,0.1056,0.0032,0.2350,0.0148,0.0317,0.9660
