T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
512,hebbian,0.99,32,,,3,159.03,0.84,146.3,1.7,0.2418,0.0004,nan,0.0000
512,hebbian,0.99,bf16,,,3,158.99,0.86,147.3,0.5,0.2418,0.0004,nan,0.0261
512,hebbian,0.99,8,nearest,static,3,164.35,1.09,152.0,1.4,0.2476,0.0007,1.8923,0.3006
512,hebbian,0.99,8,nearest,dynamic,3,159.03,0.80,149.0,2.8,0.2415,0.0004,2.8913,0.1943
512,hebbian,0.99,8,stochastic,static,3,158.42,0.70,145.7,1.2,0.2403,0.0004,1.8923,0.2790
512,hebbian,0.99,8,stochastic,dynamic,3,158.86,0.99,145.7,1.2,0.2410,0.0005,2.8874,0.1858
512,hebbian,0.99,4,nearest,static,3,214.42,7.48,155.0,9.4,0.2462,0.0049,0.1043,0.9817
512,hebbian,0.99,4,nearest,dynamic,3,110.41,0.76,0.0,0.0,0.1587,0.0004,0.0811,0.9833
512,hebbian,0.99,4,stochastic,static,3,115.12,0.37,101.3,0.9,0.1393,0.0013,0.1043,0.8929
512,hebbian,0.99,4,stochastic,dynamic,3,83.12,0.56,70.0,1.4,0.0999,0.0007,0.0735,0.9210
512,hebbian,0.995,32,,,3,260.56,0.27,243.3,0.5,0.3462,0.0002,nan,0.0000
512,hebbian,0.995,bf16,,,3,259.99,0.28,243.0,0.8,0.3458,0.0002,nan,0.0402
512,hebbian,0.995,8,nearest,static,3,276.08,0.61,258.0,4.3,0.3563,0.0003,1.3850,0.3764
512,hebbian,0.995,8,nearest,dynamic,3,260.28,0.30,243.0,0.8,0.3452,0.0003,2.2853,0.2421
512,hebbian,0.995,8,stochastic,static,3,258.69,0.42,237.7,8.3,0.3417,0.0002,1.3850,0.3478
512,hebbian,0.995,8,stochastic,dynamic,3,259.31,0.25,242.7,1.2,0.3438,0.0003,2.2814,0.2294
512,hebbian,0.995,4,nearest,static,3,99.38,6.69,0.0,0.0,0.1731,0.0065,0.0763,0.9949
512,hebbian,0.995,4,nearest,dynamic,3,77.20,0.82,0.0,0.0,0.1099,0.0006,0.0616,0.9870
