T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,hebbian,0.99,32,,,0,159.84,147,0.2424,nan,0.0000,0.0000
512,hebbian,0.99,bf16,,,0,159.84,147,0.2424,nan,0.0000,0.0261
512,hebbian,0.99,8,nearest,static,0,165.66,153,0.2485,1.8381,0.0000,0.3067
512,hebbian,0.99,8,nearest,dynamic,0,159.81,147,0.2421,2.8931,0.0001,0.1943
512,hebbian,0.99,8,stochastic,static,0,159.19,147,0.2408,1.8381,0.0000,0.2845
512,hebbian,0.99,8,stochastic,dynamic,0,160.00,147,0.2417,2.8911,0.0001,0.1856
512,hebbian,0.99,4,nearest,static,0,205.03,156,0.2400,0.1013,0.0008,0.9835
512,hebbian,0.99,4,nearest,dynamic,0,109.34,0,0.1590,0.0815,0.0002,0.9832
512,hebbian,0.99,4,stochastic,static,0,115.56,100,0.1383,0.1013,0.0029,0.8958
512,hebbian,0.99,4,stochastic,dynamic,0,83.91,71,0.1003,0.0735,0.0002,0.9210
512,hebbian,0.995,32,,,0,260.75,243,0.3465,nan,0.0000,0.0000
512,hebbian,0.995,bf16,,,0,260.03,243,0.3461,nan,0.0000,0.0401
512,hebbian,0.995,8,nearest,static,0,276.69,254,0.3568,1.3422,0.0000,0.3838
512,hebbian,0.995,8,nearest,dynamic,0,260.19,243,0.3455,2.2859,0.0001,0.2423
512,hebbian,0.995,8,stochastic,static,0,258.47,243,0.3418,1.3422,0.0000,0.3544
512,hebbian,0.995,8,stochastic,dynamic,0,259.06,243,0.3441,2.2826,0.0001,0.2298
512,hebbian,0.995,4,nearest,static,0,91.31,0,0.1650,0.0740,0.0000,0.9956
512,hebbian,0.995,4,nearest,dynamic,0,76.78,0,0.1098,0.0615,0.0002,0.9869
512,hebbian,0.995,4,stochastic,static,0,133.81,107,0.1628,0.0740,0.0079,0.9248
512,hebbian,0.995,4,stochastic,dynamic,0,55.84,24,0.1028,0.0544,0.0002,0.9419
512,hebbian,0.997,32,,,0,347.97,327,0.4007,nan,0.0000,0.0000
512,hebbian,0.997,bf16,,,0,347.94,327,0.4006,nan,0.0000,0.0554
512,hebbian,0.997,8,nearest,static,0,365.97,366,0.4058,1.1410,0.0000,0.4257
512,hebbian,0.997,8,nearest,dynamic,0,348.09,327,0.3989,2.0021,0.0001,0.2751
512,hebbian,0.997,8,stochastic,static,0,343.44,315,0.3932,1.1410,0.0000,0.3926
512,hebbian,0.997,8,stochastic,dynamic,0,345.19,314,0.3965,1.9971,0.0001,0.2595
512,hebbian,0.997,4,nearest,static,0,56.41,0,0.1250,0.0629,0.0000,0.9981
512,hebbian,0.997,4,nearest,dynamic,0,67.25,0,0.0970,0.0546,0.0002,0.9879
512,hebbian,0.997,4,stochastic,static,0,126.12,101,0.1701,0.0629,0.0143,0.9367
512,hebbian,0.997,4,stochastic,dynamic,0,40.59,0,0.1023,0.0477,0.0002,0.9492
512,hebbian,0.998,32,,,0,406.47,435,0.4245,nan,0.0000,0.0000
512,hebbian,0.998,bf16,,,0,408.06,437,0.4250,nan,0.0000,0.0675
512,hebbian,0.998,8,nearest,static,0,419.88,444,0.4250,1.0439,0.0000,0.4494
512,hebbian,0.998,8,nearest,dynamic,0,405.62,438,0.4221,1.8537,0.0001,0.2969
512,hebbian,0.998,8,stochastic,static,0,401.81,434,0.4149,1.0439,0.0000,0.4140
512,hebbian,0.998,8,stochastic,dynamic,0,403.84,429,0.4190,1.8491,0.0001,0.2789
512,hebbian,0.998,4,nearest,static,0,41.22,0,0.1027,0.0575,0.0000,0.9989
512,hebbian,0.998,4,nearest,dynamic,0,65.09,0,0.0925,0.0507,0.0002,0.9883
512,hebbian,0.998,4,stochastic,static,0,116.69,45,0.1708,0.0575,0.0204,0.9425
512,hebbian,0.998,4,stochastic,dynamic,0,35.03,0,0.1028,0.0447,0.0002,0.9524
512,hebbian,0.999,32,,,0,458.16,512,0.4411,nan,0.0000,0.0000
512,hebbian,0.999,bf16,,,0,458.88,512,0.4413,nan,0.0000,0.0783
512,hebbian,0.999,8,nearest,static,0,460.88,512,0.4367,0.9379,0.0000,0.4785
512,hebbian,0.999,8,nearest,dynamic,0,457.50,512,0.4378,1.7066,0.0001,0.3232
512,hebbian,0.999,8,stochastic,static,0,452.16,512,0.4289,0.9379,0.0000,0.4401
512,hebbian,0.999,8,stochastic,dynamic,0,454.59,512,0.4342,1.6999,0.0001,0.3026
512,hebbian,0.999,4,nearest,static,0,29.81,0,0.0799,0.0517,0.0000,0.9994
512,hebbian,0.999,4,nearest,dynamic,0,61.69,0,0.0877,0.0476,0.0002,0.9887
512,hebbian,0.999,4,stochastic,static,0,99.41,0,0.1679,0.0517,0.0296,0.9488
512,hebbian,0.999,4,stochastic,dynamic,0,31.59,0,0.1032,0.0421,0.0002,0.9552
512,hebbian,1.0,32,,,0,479.34,512,0.4471,nan,0.0000,0.0000
512,hebbian,1.0,bf16,,,0,478.94,512,0.4470,nan,0.0000,0.0881
512,hebbian,1.0,8,nearest,static,0,475.03,512,0.4380,0.7549,0.0000,0.5395
512,hebbian,1.0,8,nearest,dynamic,0,476.44,512,0.4430,1.5580,0.0001,0.3558
512,hebbian,1.0,8,stochastic,static,0,470.00,512,0.4287,0.7549,0.0000,0.4937
512,hebbian,1.0,8,stochastic,dynamic,0,475.19,512,0.4387,1.5513,0.0001,0.3315
512,hebbian,1.0,4,nearest,static,0,16.34,0,0.0408,0.0416,0.0000,0.9999
512,hebbian,1.0,4,nearest,dynamic,0,58.34,0,0.0844,0.0463,0.0002,0.9891
512,hebbian,1.0,4,stochastic,static,0,75.31,0,0.1532,0.0416,0.0390,0.9592
512,hebbian,1.0,4,stochastic,dynamic,0,29.78,0,0.1029,0.0396,0.0002,0.9580
512,delta,0.99,32,,,0,98.25,92,0.1622,nan,0.0000,0.0000
512,delta,0.99,bf16,,,0,98.34,92,0.1622,nan,0.0000,0.0220
512,delta,0.99,8,nearest,static,0,100.16,93,0.1639,2.4001,0.0000,0.2571
512,delta,0.99,8,nearest,dynamic,0,98.56,91,0.1621,3.7341,0.0001,0.1555
512,delta,0.99,8,stochastic,static,0,97.78,90,0.1615,2.3959,0.0000,0.2400
512,delta,0.99,8,stochastic,dynamic,0,97.75,90,0.1619,3.7333,0.0001,0.1495
512,delta,0.99,4,nearest,static,0,130.34,115,0.1764,0.1514,0.0003,0.9444
512,delta,0.99,4,nearest,dynamic,0,130.50,109,0.1718,0.1470,0.0002,0.9449
512,delta,0.99,4,stochastic,static,0,76.19,65,0.1036,0.1673,0.0024,0.8318
512,delta,0.99,4,stochastic,dynamic,0,39.94,31,0.0539,0.1233,0.0002,0.8702
512,delta,0.995,32,,,0,124.28,113,0.1979,nan,0.0000,0.0000
512,delta,0.995,bf16,,,0,124.22,113,0.1978,nan,0.0000,0.0304
512,delta,0.995,8,nearest,static,0,126.25,117,0.2000,2.1526,0.0000,0.2829
512,delta,0.995,8,nearest,dynamic,0,124.50,113,0.1976,3.2937,0.0001,0.1755
512,delta,0.995,8,stochastic,static,0,123.78,113,0.1967,2.1468,0.0000,0.2644
512,delta,0.995,8,stochastic,dynamic,0,124.06,112,0.1973,3.2879,0.0001,0.1684
512,delta,0.995,4,nearest,static,0,140.72,124,0.1810,0.1358,0.0003,0.9578
512,delta,0.995,4,nearest,dynamic,0,108.66,71,0.1610,0.1266,0.0002,0.9615
512,delta,0.995,4,stochastic,static,0,83.06,71,0.1104,0.1704,0.0081,0.8310
512,delta,0.995,4,stochastic,dynamic,0,7.50,0,0.0158,0.1136,0.0002,0.8807
512,delta,0.997,32,,,0,137.47,126,0.2163,nan,0.0000,0.0000
512,delta,0.997,bf16,,,0,137.53,126,0.2163,nan,0.0000,0.0384
512,delta,0.997,8,nearest,static,0,139.38,127,0.2174,1.9948,0.0000,0.2995
512,delta,0.997,8,nearest,dynamic,0,137.66,127,0.2158,3.0977,0.0001,0.1866
512,delta,0.997,8,stochastic,static,0,137.31,126,0.2147,1.9908,0.0000,0.2800
512,delta,0.997,8,stochastic,dynamic,0,137.47,127,0.2154,3.0931,0.0001,0.1782
512,delta,0.997,4,nearest,static,0,135.75,120,0.1764,0.1234,0.0002,0.9676
512,delta,0.997,4,nearest,dynamic,0,72.22,0,0.1418,0.1178,0.0002,0.9674
512,delta,0.997,4,stochastic,static,0,81.69,65,0.1088,0.1724,0.0130,0.8301
512,delta,0.997,4,stochastic,dynamic,0,3.12,0,0.0092,0.1117,0.0002,0.8828
512,delta,0.998,32,,,0,145.41,131,0.2264,nan,0.0000,0.0000
512,delta,0.998,bf16,,,0,145.56,131,0.2265,nan,0.0000,0.0440
512,delta,0.998,8,nearest,static,0,146.19,131,0.2268,1.9141,0.0000,0.3083
512,delta,0.998,8,nearest,dynamic,0,145.56,129,0.2258,2.9937,0.0001,0.1923
512,delta,0.998,8,stochastic,static,0,145.22,131,0.2244,1.9121,0.0000,0.2883
512,delta,0.998,8,stochastic,dynamic,0,145.25,131,0.2253,2.9914,0.0001,0.1838
512,delta,0.998,4,nearest,static,0,135.19,110,0.1744,0.1159,0.0001,0.9729
512,delta,0.998,4,nearest,dynamic,0,69.03,0,0.1378,0.1164,0.0001,0.9685
512,delta,0.998,4,stochastic,static,0,79.25,65,0.1063,0.1742,0.0166,0.8290
512,delta,0.998,4,stochastic,dynamic,0,2.47,0,0.0059,0.1108,0.0002,0.8836
512,delta,0.999,32,,,0,153.44,135,0.2366,nan,0.0000,0.0000
512,delta,0.999,bf16,,,0,153.38,135,0.2366,nan,0.0000,0.0478
512,delta,0.999,8,nearest,static,0,153.38,135,0.2362,1.8330,0.0000,0.3178
512,delta,0.999,8,nearest,dynamic,0,153.44,134,0.2358,2.8888,0.0001,0.1991
512,delta,0.999,8,stochastic,static,0,152.56,136,0.2343,1.8345,0.0000,0.2969
512,delta,0.999,8,stochastic,dynamic,0,153.44,135,0.2351,2.8871,0.0001,0.1898
512,delta,0.999,4,nearest,static,0,132.56,109,0.1688,0.1073,0.0001,0.9787
512,delta,0.999,4,nearest,dynamic,0,57.56,0,0.1249,0.1128,0.0001,0.9706
512,delta,0.999,4,stochastic,static,0,77.34,65,0.1042,0.1766,0.0211,0.8275
512,delta,0.999,4,stochastic,dynamic,0,2.44,0,0.0038,0.1101,0.0002,0.8844
512,delta,1.0,32,,,0,161.78,148,0.2464,nan,0.0000,0.0000
512,delta,1.0,bf16,,,0,161.69,147,0.2463,nan,0.0000,0.0501
512,delta,1.0,8,nearest,static,0,162.19,147,0.2452,1.7524,0.0000,0.3279
512,delta,1.0,8,nearest,dynamic,0,161.62,146,0.2457,2.7824,0.0001,0.2065
512,delta,1.0,8,stochastic,static,0,160.31,146,0.2435,1.7595,0.0000,0.3054
512,delta,1.0,8,stochastic,dynamic,0,161.38,145,0.2447,2.7816,0.0001,0.1966
512,delta,1.0,4,nearest,static,0,123.66,103,0.1620,0.0972,0.0000,0.9846
512,delta,1.0,4,nearest,dynamic,0,56.78,0,0.1156,0.1096,0.0001,0.9726
512,delta,1.0,4,stochastic,static,0,73.31,58,0.1003,0.1794,0.0265,0.8257
512,delta,1.0,4,stochastic,dynamic,0,2.03,0,0.0027,0.1099,0.0002,0.8847
512,hebbian,0.99,32,,,1,159.38,144,0.2415,nan,0.0000,0.0000
512,hebbian,0.99,bf16,,,1,159.31,147,0.2415,nan,0.0000,0.0260
512,hebbian,0.99,8,nearest,static,1,164.41,153,0.2470,1.9421,0.0000,0.2941
512,hebbian,0.99,8,nearest,dynamic,1,159.34,153,0.2412,2.9026,0.0001,0.1926
512,hebbian,0.99,8,stochastic,static,1,158.56,144,0.2401,1.9421,0.0000,0.2733
