rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,unchanged_frac_mean
hebbian,0.9,32,,,10,25.09,0.34,19.6,0.5,0.0000
hebbian,0.9,8,nearest,static,10,25.13,0.33,19.7,0.5,0.1236
hebbian,0.9,8,nearest,dynamic,10,25.09,0.32,19.6,0.5,0.0758
hebbian,0.9,8,stochastic,static,10,25.10,0.35,19.8,0.4,0.1221
hebbian,0.9,8,stochastic,dynamic,10,25.09,0.37,19.7,0.5,0.0744
hebbian,0.9,4,nearest,static,10,45.78,2.59,40.1,2.8,0.8809
hebbian,0.9,4,nearest,dynamic,10,28.85,0.31,23.2,0.4,0.7178
hebbian,0.9,4,stochastic,static,10,24.32,0.34,18.7,0.5,0.7709
hebbian,0.9,4,stochastic,dynamic,10,24.85,0.35,19.1,0.3,0.6455
hebbian,0.97,32,,,10,67.22,0.55,60.5,1.0,0.0000
hebbian,0.97,8,nearest,static,10,67.28,0.60,60.5,1.3,0.2007
hebbian,0.97,8,nearest,dynamic,10,67.29,0.55,60.7,1.3,0.1278
hebbian,0.97,8,stochastic,static,10,67.21,0.56,60.6,1.2,0.1928
hebbian,0.97,8,stochastic,dynamic,10,67.21,0.56,60.4,1.0,0.1237
hebbian,0.97,4,nearest,static,10,152.46,4.15,138.0,4.2,0.9425
hebbian,0.97,4,nearest,dynamic,10,116.48,1.83,107.1,3.0,0.9039
hebbian,0.97,4,stochastic,static,10,60.66,0.51,52.8,1.0,0.8397
hebbian,0.97,4,stochastic,dynamic,10,60.60,0.57,52.8,0.7,0.8231
hebbian,0.99,32,,,10,160.18,1.04,148.0,2.7,0.0000
hebbian,0.99,8,nearest,static,10,165.49,1.21,153.4,2.4,0.3032
hebbian,0.99,8,nearest,dynamic,10,160.19,1.04,149.1,3.2,0.1939
hebbian,0.99,8,stochastic,static,10,159.76,1.08,147.7,2.7,0.2813
hebbian,0.99,8,stochastic,dynamic,10,159.93,1.12,147.8,2.7,0.1854
hebbian,0.99,4,nearest,static,10,209.86,11.34,131.5,38.6,0.9826
hebbian,0.99,4,nearest,dynamic,10,113.06,3.78,0.0,0.0,0.9832
hebbian,0.99,4,stochastic,static,10,115.28,0.95,101.7,2.7,0.8943
hebbian,0.99,4,stochastic,dynamic,10,83.24,0.79,70.3,3.4,0.9211
hebbian,0.999,32,,,10,459.58,1.15,512.0,0.0,0.0000
hebbian,0.999,8,nearest,static,10,461.84,1.00,512.0,0.0,0.4961
hebbian,0.999,8,nearest,dynamic,10,458.56,1.36,512.0,0.0,0.3224
hebbian,0.999,8,stochastic,static,10,452.74,1.06,512.0,0.0,0.4557
hebbian,0.999,8,stochastic,dynamic,10,456.25,1.27,512.0,0.0,0.3016
hebbian,0.999,4,nearest,static,10,23.84,3.54,0.0,0.0,0.9996
hebbian,0.999,4,nearest,dynamic,10,61.54,1.76,0.0,0.0,0.9889
hebbian,0.999,4,stochastic,static,10,93.36,3.93,0.0,0.0,0.9519
hebbian,0.999,4,stochastic,dynamic,10,30.90,0.60,0.0,0.0,0.9554
hebbian,1.0,32,,,10,479.55,1.05,512.0,0.0,0.0000
hebbian,1.0,8,nearest,static,10,474.92,1.07,512.0,0.0,0.5578
