rule,lam,bits,rounding,scale,n_seeds,current_mean,current_std,stale_mean,stale_std,write_lsb_mean,unchanged_frac_mean
hebbian,0.9,32,,,3,0.3099,0.0034,0.0426,0.0030,nan,0.0000
hebbian,0.9,8,nearest,static,3,0.3097,0.0036,0.0428,0.0030,3.4360,0.1347
hebbian,0.9,8,nearest,dynamic,3,0.3096,0.0038,0.0428,0.0032,6.8012,0.0775
hebbian,0.9,8,stochastic,static,3,0.3091,0.0036,0.0428,0.0036,3.4360,0.1328
hebbian,0.9,8,stochastic,dynamic,3,0.3092,0.0036,0.0426,0.0028,6.7998,0.0761
hebbian,0.9,4,nearest,static,3,0.5210,0.0084,0.0378,0.0042,0.1894,0.8996
hebbian,0.9,4,nearest,dynamic,3,0.3521,0.0029,0.0407,0.0012,0.3541,0.7233
hebbian,0.9,4,stochastic,static,3,0.3009,0.0045,0.0417,0.0033,0.1894,0.7875
hebbian,0.9,4,stochastic,dynamic,3,0.3032,0.0056,0.0422,0.0041,0.3415,0.6500
hebbian,0.97,32,,,3,0.6326,0.0125,0.0384,0.0060,nan,0.0000
hebbian,0.97,8,nearest,static,3,0.6326,0.0129,0.0379,0.0054,2.5473,0.2159
hebbian,0.97,8,nearest,dynamic,3,0.6323,0.0138,0.0384,0.0060,4.2649,0.1328
hebbian,0.97,8,stochastic,static,3,0.6309,0.0118,0.0387,0.0048,2.5473,0.2065
hebbian,0.97,8,stochastic,dynamic,3,0.6317,0.0136,0.0381,0.0046,4.2634,0.1284
hebbian,0.97,4,nearest,static,3,0.7253,0.0158,0.1886,0.0220,0.1404,0.9534
hebbian,0.97,4,nearest,dynamic,3,0.7349,0.0124,0.1025,0.0097,0.1789,0.9115
hebbian,0.97,4,stochastic,static,3,0.5801,0.0133,0.0482,0.0028,0.1404,0.8514
hebbian,0.97,4,stochastic,dynamic,3,0.5827,0.0114,0.0457,0.0030,0.1551,0.8312
hebbian,0.99,32,,,3,0.7970,0.0036,0.1177,0.0055,nan,0.0000
hebbian,0.99,8,nearest,static,3,0.7995,0.0040,0.1240,0.0053,1.6980,0.3234
hebbian,0.99,8,nearest,dynamic,3,0.7965,0.0044,0.1165,0.0065,2.6577,0.2053
hebbian,0.99,8,stochastic,static,3,0.7964,0.0037,0.1178,0.0045,1.6980,0.2994
hebbian,0.99,8,stochastic,dynamic,3,0.7992,0.0044,0.1144,0.0065,2.6544,0.1959
hebbian,0.99,4,nearest,static,3,0.1473,0.0164,0.5701,0.0067,0.0936,0.9877
hebbian,0.99,4,nearest,dynamic,3,0.0068,0.0020,0.7939,0.0076,0.0649,0.9913
hebbian,0.99,4,stochastic,static,3,0.6699,0.0085,0.1510,0.0062,0.0936,0.9034
hebbian,0.99,4,stochastic,dynamic,3,0.5467,0.0051,0.1715,0.0067,0.0608,0.9341
hebbian,0.999,32,,,3,0.2384,0.0064,0.7376,0.0084,nan,0.0000
hebbian,0.999,8,nearest,static,3,0.1976,0.0087,0.7710,0.0106,0.6367,0.5883
hebbian,0.999,8,nearest,dynamic,3,0.2349,0.0036,0.7402,0.0028,1.2676,0.3922
hebbian,0.999,8,stochastic,static,3,0.2284,0.0081,0.7448,0.0095,0.6367,0.5358
hebbian,0.999,8,stochastic,dynamic,3,0.2355,0.0086,0.7414,0.0098,1.2621,0.3642
hebbian,0.999,4,nearest,static,3,0.0119,0.0033,0.1281,0.0127,0.0351,1.0000
hebbian,0.999,4,nearest,dynamic,3,0.0046,0.0009,0.6247,0.0085,0.0292,0.9946
hebbian,0.999,4,stochastic,static,3,0.1055,0.0043,0.4235,0.0070,0.0351,0.9651
hebbian,0.999,4,stochastic,dynamic,3,0.0304,0.0027,0.2137,0.0063,0.0252,0.9730
hebbian,1.0,32,,,3,0.0827,0.0024,0.8807,0.0051,nan,0.0000
hebbian,1.0,8,nearest,static,3,0.0820,0.0031,0.8766,0.0056,0.4299,0.7050
hebbian,1.0,8,nearest,dynamic,3,0.0788,0.0039,0.8835,0.0075,1.0699,0.4597
hebbian,1.0,8,stochastic,static,3,0.0819,0.0008,0.8695,0.0013,0.4299,0.6357
hebbian,1.0,8,stochastic,dynamic,3,0.0832,0.0038,0.8789,0.0056,1.0642,0.4229
hebbian,1.0,4,nearest,static,3,0.0047,0.0018,0.0706,0.0116,0.0237,1.0000
hebbian,1.0,4,nearest,dynamic,3,0.0050,0.0008,0.6139,0.0008,0.0268,0.9947
hebbian,1.0,4,stochastic,static,3,0.0417,0.0023,0.3607,0.0072,0.0237,0.9768
hebbian,1.0,4,stochastic,dynamic,3,0.0179,0.0017,0.2192,0.0055,0.0226,0.9758
delta,0.9,32,,,3,0.2964,0.0024,0.0438,0.0042,nan,0.0000
delta,0.9,8,nearest,static,3,0.2959,0.0025,0.0438,0.0035,4.1670,0.1149
delta,0.9,8,nearest,dynamic,3,0.2957,0.0027,0.0435,0.0034,7.4782,0.0717
delta,0.9,8,stochastic,static,3,0.2959,0.0031,0.0435,0.0042,4.1671,0.1136
delta,0.9,8,stochastic,dynamic,3,0.2962,0.0023,0.0433,0.0042,7.4771,0.0705
delta,0.9,4,nearest,static,3,0.4458,0.0035,0.0356,0.0042,0.2359,0.8517
delta,0.9,4,nearest,dynamic,3,0.3337,0.0044,0.0430,0.0017,0.3941,0.6929
delta,0.9,4,stochastic,static,3,0.2878,0.0047,0.0425,0.0024,0.2332,0.7480
delta,0.9,4,stochastic,dynamic,3,0.2944,0.0046,0.0410,0.0026,0.3803,0.6246
delta,0.97,32,,,3,0.6012,0.0090,0.0225,0.0040,nan,0.0000
delta,0.97,8,nearest,static,3,0.6016,0.0083,0.0225,0.0038,3.4079,0.1768
delta,0.97,8,nearest,dynamic,3,0.6012,0.0086,0.0226,0.0042,5.5823,0.1065
delta,0.97,8,stochastic,static,3,0.6006,0.0074,0.0236,0.0038,3.4082,0.1700
delta,0.97,8,stochastic,dynamic,3,0.6021,0.0095,0.0218,0.0038,5.5797,0.1034
delta,0.97,4,nearest,static,3,0.8009,0.0088,0.0132,0.0012,0.2003,0.8961
delta,0.97,4,nearest,dynamic,3,0.7231,0.0132,0.0158,0.0014,0.2567,0.8341
delta,0.97,4,stochastic,static,3,0.5625,0.0056,0.0256,0.0036,0.1993,0.7963
delta,0.97,4,stochastic,dynamic,3,0.5628,0.0074,0.0267,0.0037,0.2159,0.7742
delta,0.99,32,,,3,0.8592,0.0014,0.0076,0.0028,nan,0.0000
delta,0.99,8,nearest,static,3,0.8654,0.0012,0.0065,0.0022,2.8769,0.2286
delta,0.99,8,nearest,dynamic,3,0.8592,0.0010,0.0076,0.0023,4.4975,0.1334
delta,0.99,8,stochastic,static,3,0.8577,0.0012,0.0073,0.0017,2.8712,0.2141
delta,0.99,8,stochastic,dynamic,3,0.8594,0.0024,0.0078,0.0016,4.4924,0.1289
delta,0.99,4,nearest,static,3,0.9378,0.0058,0.0059,0.0011,0.1706,0.9266
delta,0.99,4,nearest,dynamic,3,0.8647,0.0035,0.0392,0.0009,0.1392,0.9516
delta,0.99,4,stochastic,static,3,0.7671,0.0028,0.0125,0.0012,0.1828,0.8173
delta,0.99,4,stochastic,dynamic,3,0.4359,0.0054,0.0295,0.0010,0.1013,0.8929
delta,0.999,32,,,3,0.9966,0.0007,0.0002,0.0002,nan,0.0000
delta,0.999,8,nearest,static,3,0.9961,0.0007,0.0003,0.0005,2.3359,0.2703
delta,0.999,8,nearest,dynamic,3,0.9969,0.0002,0.0002,0.0002,3.6456,0.1618
delta,0.999,8,stochastic,static,3,0.9961,0.0011,0.0002,0.0002,2.3358,0.2538
delta,0.999,8,stochastic,dynamic,3,0.9961,0.0011,0.0002,0.0002,3.6252,0.1560
delta,0.999,4,nearest,static,3,0.9323,0.0034,0.0148,0.0016,0.1318,0.9614
delta,0.999,4,nearest,dynamic,3,0.0041,0.0008,0.4403,0.0068,0.0826,0.9853
delta,0.999,4,stochastic,static,3,0.8188,0.0058,0.0109,0.0016,0.1669,0.8378
delta,0.999,4,stochastic,dynamic,3,0.0041,0.0009,0.0591,0.0032,0.0833,0.9120
delta,1.0,32,,,3,0.9989,0.0006,0.0002,0.0002,nan,0.0000
delta,1.0,8,nearest,static,3,0.9982,0.0002,0.0002,0.0002,2.1879,0.2828
delta,1.0,8,nearest,dynamic,3,0.9990,0.0004,0.0002,0.0002,3.4884,0.1683
delta,1.0,8,stochastic,static,3,0.9987,0.0002,0.0002,0.0002,2.1914,0.2650
delta,1.0,8,stochastic,dynamic,3,0.9990,0.0004,0.0002,0.0002,3.4560,0.1628
delta,1.0,4,nearest,static,3,0.9062,0.0093,0.0243,0.0042,0.1206,0.9700
delta,1.0,4,nearest,dynamic,3,0.0041,0.0010,0.4717,0.0076,0.0815,0.9862
delta,1.0,4,stochastic,static,3,0.7962,0.0030,0.0153,0.0013,0.1607,0.8449
delta,1.0,4,stochastic,dynamic,3,0.0042,0.0012,0.0607,0.0051,0.0829,0.9125
