rule,lam,bits,rounding,scale,recalled,age50,saturated_frac,unchanged_frac
hebbian,0.9,32,,,25.12,20,0.0000,0.0000
hebbian,0.9,8,nearest,static,25.12,20,0.0000,0.1289
hebbian,0.9,8,nearest,dynamic,25.09,20,0.0001,0.0758
hebbian,0.9,8,stochastic,static,25.06,20,0.0000,0.1272
hebbian,0.9,8,stochastic,dynamic,25.12,20,0.0001,0.0744
hebbian,0.9,4,nearest,static,46.41,41,0.0000,0.8908
hebbian,0.9,4,nearest,dynamic,28.53,23,0.0002,0.7176
hebbian,0.9,4,stochastic,static,23.78,18,0.0000,0.7797
hebbian,0.9,4,stochastic,dynamic,24.72,19,0.0002,0.6454
hebbian,0.97,32,,,67.06,59,0.0000,0.0000
hebbian,0.97,8,nearest,static,66.88,59,0.0000,0.2099
hebbian,0.97,8,nearest,dynamic,66.94,59,0.0001,0.1280
hebbian,0.97,8,stochastic,static,66.75,59,0.0000,0.2011
hebbian,0.97,8,stochastic,dynamic,66.94,59,0.0001,0.1238
hebbian,0.97,4,nearest,static,156.47,139,0.0002,0.9493
hebbian,0.97,4,nearest,dynamic,116.38,106,0.0002,0.9040
hebbian,0.97,4,stochastic,static,60.25,52,0.0001,0.8470
hebbian,0.97,4,stochastic,dynamic,60.12,52,0.0002,0.8231
hebbian,0.99,32,,,159.84,147,0.0000,0.0000
hebbian,0.99,8,nearest,static,165.66,153,0.0000,0.3067
hebbian,0.99,8,nearest,dynamic,159.81,147,0.0001,0.1943
hebbian,0.99,8,stochastic,static,159.19,147,0.0000,0.2845
hebbian,0.99,8,stochastic,dynamic,160.00,147,0.0001,0.1856
hebbian,0.99,4,nearest,static,205.03,156,0.0008,0.9835
hebbian,0.99,4,nearest,dynamic,109.34,0,0.0002,0.9832
hebbian,0.99,4,stochastic,static,115.56,100,0.0029,0.8958
hebbian,0.99,4,stochastic,dynamic,83.91,71,0.0002,0.9210
hebbian,0.999,32,,,458.16,512,0.0000,0.0000
hebbian,0.999,8,nearest,static,460.88,512,0.0000,0.4785
hebbian,0.999,8,nearest,dynamic,457.50,512,0.0001,0.3232
hebbian,0.999,8,stochastic,static,452.16,512,0.0000,0.4401
hebbian,0.999,8,stochastic,dynamic,454.59,512,0.0001,0.3026
hebbian,0.999,4,nearest,static,29.81,0,0.0000,0.9994
hebbian,0.999,4,nearest,dynamic,61.69,0,0.0002,0.9887
hebbian,0.999,4,stochastic,static,99.41,0,0.0296,0.9488
hebbian,0.999,4,stochastic,dynamic,31.59,0,0.0002,0.9552
hebbian,1.0,32,,,479.34,512,0.0000,0.0000
hebbian,1.0,8,nearest,static,475.03,512,0.0000,0.5395
hebbian,1.0,8,nearest,dynamic,476.44,512,0.0001,0.3558
hebbian,1.0,8,stochastic,static,470.00,512,0.0000,0.4937
hebbian,1.0,8,stochastic,dynamic,475.19,512,0.0001,0.3315
hebbian,1.0,4,nearest,static,16.34,0,0.0000,0.9999
hebbian,1.0,4,nearest,dynamic,58.34,0,0.0002,0.9891
hebbian,1.0,4,stochastic,static,75.31,0,0.0390,0.9592
hebbian,1.0,4,stochastic,dynamic,29.78,0,0.0002,0.9580
delta,0.9,32,,,23.41,18,0.0000,0.0000
delta,0.9,8,nearest,static,23.31,18,0.0000,0.1242
delta,0.9,8,nearest,dynamic,23.44,18,0.0001,0.0736
delta,0.9,8,stochastic,static,23.38,18,0.0000,0.1227
delta,0.9,8,stochastic,dynamic,23.38,18,0.0001,0.0723
delta,0.9,4,nearest,static,40.19,34,0.0000,0.8757
delta,0.9,4,nearest,dynamic,26.59,21,0.0002,0.7042
delta,0.9,4,stochastic,static,22.66,17,0.0000,0.7671
