T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
1024,hebbian,0.999,32,,,3,571.57,1.68,521.0,23.0,0.3170,0.0001,nan,0.0000
1024,hebbian,0.999,8,nearest,static,3,580.06,1.46,521.3,22.0,0.3145,0.0003,0.7263,0.5506
1024,hebbian,0.999,8,nearest,dynamic,3,565.42,2.68,516.3,19.4,0.3133,0.0001,1.3347,0.3791
1024,hebbian,0.999,8,stochastic,static,3,542.76,3.79,456.3,8.6,0.3019,0.0009,0.7263,0.5031
1024,hebbian,0.999,8,stochastic,dynamic,3,555.49,1.55,473.0,32.8,0.3085,0.0000,1.3300,0.3524
1024,hebbian,0.999,4,nearest,static,3,16.72,0.79,0.0,0.0,0.0264,0.0028,0.0400,0.9999
1024,hebbian,0.999,4,nearest,dynamic,3,62.80,0.52,0.0,0.0,0.0436,0.0008,0.0297,0.9944
1024,hebbian,0.999,4,stochastic,static,3,68.88,1.94,0.0,0.0,0.0988,0.0010,0.0400,0.9604
1024,hebbian,0.999,4,stochastic,dynamic,3,19.08,0.41,0.0,0.0,0.0522,0.0004,0.0257,0.9725
1024,hebbian,1.0,32,,,3,658.91,3.29,1024.0,0.0,0.3328,0.0001,nan,0.0000
1024,hebbian,1.0,8,nearest,static,3,618.67,3.64,447.7,424.5,0.3177,0.0004,0.5048,0.6579
1024,hebbian,1.0,8,nearest,dynamic,3,642.62,2.74,687.3,476.1,0.3264,0.0000,1.1232,0.4461
1024,hebbian,1.0,8,stochastic,static,3,578.94,2.85,43.7,32.7,0.3032,0.0008,0.5048,0.5958
1024,hebbian,1.0,8,stochastic,dynamic,3,624.16,2.83,845.7,252.2,0.3197,0.0001,1.1175,0.4111
1024,hebbian,1.0,4,nearest,static,3,9.29,1.04,0.0,0.0,0.0039,0.0010,0.0278,1.0000
1024,hebbian,1.0,4,nearest,dynamic,3,60.05,0.28,0.0,0.0,0.0419,0.0008,0.0274,0.9946
1024,hebbian,1.0,4,stochastic,static,3,43.30,1.06,0.0,0.0,0.0876,0.0004,0.0278,0.9729
1024,hebbian,1.0,4,stochastic,dynamic,3,17.99,0.66,0.0,0.0,0.0518,0.0007,0.0231,0.9754
1024,delta,0.999,32,,,3,154.34,1.10,143.3,0.9,0.1191,0.0006,nan,0.0000
1024,delta,0.999,8,nearest,static,3,154.78,1.31,143.7,0.5,0.1189,0.0007,1.8262,0.3186
1024,delta,0.999,8,nearest,dynamic,3,154.44,1.17,143.7,0.5,0.1187,0.0006,2.7272,0.2062
1024,delta,0.999,8,stochastic,static,3,153.48,1.40,141.0,2.9,0.1178,0.0006,1.8279,0.2975
1024,delta,0.999,8,stochastic,dynamic,3,153.99,1.36,141.0,2.9,0.1183,0.0006,2.7227,0.1967
1024,delta,0.999,4,nearest,static,3,131.55,2.66,107.7,3.9,0.0883,0.0012,0.1174,0.9714
1024,delta,0.999,4,nearest,dynamic,3,28.74,2.26,0.0,0.0,0.0541,0.0010,0.0977,0.9813
1024,delta,0.999,4,stochastic,static,3,78.66,1.68,61.7,1.7,0.0513,0.0010,0.1828,0.8218
1024,delta,0.999,4,stochastic,dynamic,3,4.30,0.23,0.0,0.0,0.0003,0.0002,0.1025,0.8919
1024,delta,1.0,32,,,3,162.41,0.80,150.7,4.2,0.1246,0.0006,nan,0.0000
1024,delta,1.0,8,nearest,static,3,161.91,0.60,150.3,4.1,0.1237,0.0005,1.7257,0.3311
1024,delta,1.0,8,nearest,dynamic,3,162.03,0.87,150.7,4.2,0.1241,0.0006,2.6021,0.2148
1024,delta,1.0,8,stochastic,static,3,161.34,0.99,148.3,2.4,0.1229,0.0004,1.7344,0.3082
1024,delta,1.0,8,stochastic,dynamic,3,161.90,1.13,148.0,2.9,0.1236,0.0006,2.5969,0.2047
1024,delta,1.0,4,nearest,static,3,124.33,4.57,97.0,2.2,0.0859,0.0008,0.1057,0.9790
1024,delta,1.0,4,nearest,dynamic,3,19.50,0.44,0.0,0.0,0.0440,0.0007,0.0948,0.9826
1024,delta,1.0,4,stochastic,static,3,72.45,2.18,54.0,2.2,0.0484,0.0010,0.1862,0.8194
1024,delta,1.0,4,stochastic,dynamic,3,4.15,0.18,0.0,0.0,0.0001,0.0003,0.1023,0.8921
