T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,hebbian,0.9,32,,,0,25.12,20,0.0454,nan,0.0000,0.0000
512,hebbian,0.9,8,nearest,static,0,25.12,20,0.0454,3.5842,0.0000,0.1289
512,hebbian,0.9,8,nearest,dynamic,0,25.09,20,0.0454,6.9352,0.0001,0.0758
512,hebbian,0.9,8,stochastic,static,0,25.06,20,0.0453,3.5842,0.0000,0.1272
512,hebbian,0.9,8,stochastic,dynamic,0,25.12,20,0.0454,6.9351,0.0001,0.0744
512,hebbian,0.9,4,nearest,static,0,46.41,41,0.0731,0.1976,0.0000,0.8908
512,hebbian,0.9,4,nearest,dynamic,0,28.53,23,0.0493,0.3610,0.0002,0.7176
512,hebbian,0.9,4,stochastic,static,0,23.78,18,0.0358,0.1976,0.0000,0.7797
512,hebbian,0.9,4,stochastic,dynamic,0,24.72,19,0.0408,0.3481,0.0002,0.6454
512,hebbian,0.97,32,,,0,67.06,59,0.1139,nan,0.0000,0.0000
512,hebbian,0.97,8,nearest,static,0,66.88,59,0.1138,2.6316,0.0000,0.2099
512,hebbian,0.97,8,nearest,dynamic,0,66.94,59,0.1138,4.4693,0.0001,0.1280
512,hebbian,0.97,8,stochastic,static,0,66.75,59,0.1135,2.6316,0.0000,0.2011
512,hebbian,0.97,8,stochastic,dynamic,0,66.94,59,0.1138,4.4681,0.0001,0.1238
512,hebbian,0.97,4,nearest,static,0,156.47,139,0.2036,0.1450,0.0002,0.9493
512,hebbian,0.97,4,nearest,dynamic,0,116.38,106,0.1625,0.1867,0.0002,0.9040
512,hebbian,0.97,4,stochastic,static,0,60.25,52,0.0809,0.1450,0.0001,0.8470
512,hebbian,0.97,4,stochastic,dynamic,0,60.12,52,0.0820,0.1636,0.0002,0.8231
512,hebbian,0.99,32,,,0,159.84,147,0.2424,nan,0.0000,0.0000
512,hebbian,0.99,8,nearest,static,0,165.66,153,0.2485,1.8381,0.0000,0.3067
512,hebbian,0.99,8,nearest,dynamic,0,159.81,147,0.2421,2.8931,0.0001,0.1943
512,hebbian,0.99,8,stochastic,static,0,159.19,147,0.2408,1.8381,0.0000,0.2845
512,hebbian,0.99,8,stochastic,dynamic,0,160.00,147,0.2417,2.8911,0.0001,0.1856
512,hebbian,0.99,4,nearest,static,0,205.03,156,0.2400,0.1013,0.0008,0.9835
512,hebbian,0.99,4,nearest,dynamic,0,109.34,0,0.1590,0.0815,0.0002,0.9832
512,hebbian,0.99,4,stochastic,static,0,115.56,100,0.1383,0.1013,0.0029,0.8958
512,hebbian,0.99,4,stochastic,dynamic,0,83.91,71,0.1003,0.0735,0.0002,0.9210
512,hebbian,0.999,32,,,0,458.16,512,0.4411,nan,0.0000,0.0000
512,hebbian,0.999,8,nearest,static,0,460.88,512,0.4367,0.9379,0.0000,0.4785
512,hebbian,0.999,8,nearest,dynamic,0,457.50,512,0.4378,1.7066,0.0001,0.3232
512,hebbian,0.999,8,stochastic,static,0,452.16,512,0.4289,0.9379,0.0000,0.4401
512,hebbian,0.999,8,stochastic,dynamic,0,454.59,512,0.4342,1.6999,0.0001,0.3026
512,hebbian,0.999,4,nearest,static,0,29.81,0,0.0799,0.0517,0.0000,0.9994
512,hebbian,0.999,4,nearest,dynamic,0,61.69,0,0.0877,0.0476,0.0002,0.9887
512,hebbian,0.999,4,stochastic,static,0,99.41,0,0.1679,0.0517,0.0296,0.9488
512,hebbian,0.999,4,stochastic,dynamic,0,31.59,0,0.1032,0.0421,0.0002,0.9552
512,hebbian,1.0,32,,,0,479.34,512,0.4471,nan,0.0000,0.0000
512,hebbian,1.0,8,nearest,static,0,475.03,512,0.4380,0.7549,0.0000,0.5395
512,hebbian,1.0,8,nearest,dynamic,0,476.44,512,0.4430,1.5580,0.0001,0.3558
512,hebbian,1.0,8,stochastic,static,0,470.00,512,0.4287,0.7549,0.0000,0.4937
512,hebbian,1.0,8,stochastic,dynamic,0,475.19,512,0.4387,1.5513,0.0001,0.3315
512,hebbian,1.0,4,nearest,static,0,16.34,0,0.0408,0.0416,0.0000,0.9999
512,hebbian,1.0,4,nearest,dynamic,0,58.34,0,0.0844,0.0463,0.0002,0.9891
512,hebbian,1.0,4,stochastic,static,0,75.31,0,0.1532,0.0416,0.0390,0.9592
512,hebbian,1.0,4,stochastic,dynamic,0,29.78,0,0.1029,0.0396,0.0002,0.9580
512,delta,0.9,32,,,0,23.41,18,0.0429,nan,0.0000,0.0000
512,delta,0.9,8,nearest,static,0,23.31,18,0.0428,3.7644,0.0000,0.1242
512,delta,0.9,8,nearest,dynamic,0,23.44,18,0.0429,7.1923,0.0001,0.0736
512,delta,0.9,8,stochastic,static,0,23.38,18,0.0428,3.7645,0.0000,0.1227
512,delta,0.9,8,stochastic,dynamic,0,23.38,18,0.0429,7.1912,0.0001,0.0723
512,delta,0.9,4,nearest,static,0,40.19,34,0.0639,0.2120,0.0000,0.8757
512,delta,0.9,4,nearest,dynamic,0,26.59,21,0.0464,0.3777,0.0002,0.7042
512,delta,0.9,4,stochastic,static,0,22.66,17,0.0346,0.2114,0.0000,0.7671
512,delta,0.9,4,stochastic,dynamic,0,23.12,17,0.0387,0.3666,0.0002,0.6330
512,delta,0.97,32,,,0,54.31,48,0.0961,nan,0.0000,0.0000
512,delta,0.97,8,nearest,static,0,54.06,48,0.0960,2.8428,0.0000,0.2009
512,delta,0.97,8,nearest,dynamic,0,54.12,48,0.0961,5.0021,0.0001,0.1161
512,delta,0.97,8,stochastic,static,0,54.09,48,0.0959,2.8432,0.0000,0.1925
512,delta,0.97,8,stochastic,dynamic,0,54.31,48,0.0960,4.9998,0.0001,0.1128
512,delta,0.97,4,nearest,static,0,95.31,87,0.1372,0.1701,0.0000,0.9255
512,delta,0.97,4,nearest,dynamic,0,77.47,71,0.1173,0.2289,0.0002,0.8614
512,delta,0.97,4,stochastic,static,0,49.59,43,0.0706,0.1711,0.0000,0.8223
512,delta,0.97,4,stochastic,dynamic,0,50.72,44,0.0733,0.2041,0.0002,0.7851
512,delta,0.99,32,,,0,98.25,92,0.1622,nan,0.0000,0.0000
512,delta,0.99,8,nearest,static,0,100.16,93,0.1639,2.4001,0.0000,0.2571
512,delta,0.99,8,nearest,dynamic,0,98.56,91,0.1621,3.7341,0.0001,0.1555
512,delta,0.99,8,stochastic,static,0,97.78,90,0.1615,2.3959,0.0000,0.2400
512,delta,0.99,8,stochastic,dynamic,0,97.75,90,0.1619,3.7333,0.0001,0.1495
512,delta,0.99,4,nearest,static,0,130.34,115,0.1764,0.1514,0.0003,0.9444
512,delta,0.99,4,nearest,dynamic,0,130.50,109,0.1718,0.1470,0.0002,0.9449
512,delta,0.99,4,stochastic,static,0,76.19,65,0.1036,0.1673,0.0024,0.8318
512,delta,0.99,4,stochastic,dynamic,0,39.94,31,0.0539,0.1233,0.0002,0.8702
512,delta,0.999,32,,,0,153.44,135,0.2366,nan,0.0000,0.0000
512,delta,0.999,8,nearest,static,0,153.38,135,0.2362,1.8330,0.0000,0.3178
512,delta,0.999,8,nearest,dynamic,0,153.44,134,0.2358,2.8888,0.0001,0.1991
512,delta,0.999,8,stochastic,static,0,152.56,136,0.2343,1.8345,0.0000,0.2969
512,delta,0.999,8,stochastic,dynamic,0,153.44,135,0.2351,2.8871,0.0001,0.1898
512,delta,0.999,4,nearest,static,0,132.56,109,0.1688,0.1073,0.0001,0.9787
512,delta,0.999,4,nearest,dynamic,0,57.56,0,0.1249,0.1128,0.0001,0.9706
512,delta,0.999,4,stochastic,static,0,77.34,65,0.1042,0.1766,0.0211,0.8275
512,delta,0.999,4,stochastic,dynamic,0,2.44,0,0.0038,0.1101,0.0002,0.8844
512,delta,1.0,32,,,0,161.78,148,0.2464,nan,0.0000,0.0000
512,delta,1.0,8,nearest,static,0,162.19,147,0.2452,1.7524,0.0000,0.3279
512,delta,1.0,8,nearest,dynamic,0,161.62,146,0.2457,2.7824,0.0001,0.2065
512,delta,1.0,8,stochastic,static,0,160.31,146,0.2435,1.7595,0.0000,0.3054
512,delta,1.0,8,stochastic,dynamic,0,161.38,145,0.2447,2.7816,0.0001,0.1966
512,delta,1.0,4,nearest,static,0,123.66,103,0.1620,0.0972,0.0000,0.9846
512,delta,1.0,4,nearest,dynamic,0,56.78,0,0.1156,0.1096,0.0001,0.9726
512,delta,1.0,4,stochastic,static,0,73.31,58,0.1003,0.1794,0.0265,0.8257
512,delta,1.0,4,stochastic,dynamic,0,2.03,0,0.0027,0.1099,0.0002,0.8847
512,hebbian,0.9,32,,,1,25.50,20,0.0441,nan,0.0000,0.0000
512,hebbian,0.9,8,nearest,static,1,25.59,20,0.0441,3.2399,0.0000,0.1419
512,hebbian,0.9,8,nearest,dynamic,1,25.44,20,0.0441,6.9356,0.0001,0.0758
512,hebbian,0.9,8,stochastic,static,1,25.38,20,0.0439,3.2399,0.0000,0.1398
512,hebbian,0.9,8,stochastic,dynamic,1,25.50,20,0.0440,6.9342,0.0001,0.0744
512,hebbian,0.9,4,nearest,static,1,51.06,46,0.0773,0.1786,0.0000,0.9108
512,hebbian,0.9,4,nearest,dynamic,1,28.66,23,0.0486,0.3612,0.0002,0.7173
512,hebbian,0.9,4,stochastic,static,1,24.66,19,0.0347,0.1786,0.0000,0.7977
512,hebbian,0.9,4,stochastic,dynamic,1,25.38,20,0.0397,0.3479,0.0002,0.6455
512,hebbian,0.97,32,,,1,67.66,61,0.1127,nan,0.0000,0.0000
512,hebbian,0.97,8,nearest,static,1,67.84,61,0.1126,2.8428,0.0000,0.1954
512,hebbian,0.97,8,nearest,dynamic,1,67.62,61,0.1126,4.4747,0.0001,0.1276
512,hebbian,0.97,8,stochastic,static,1,67.62,61,0.1124,2.8428,0.0000,0.1881
512,hebbian,0.97,8,stochastic,dynamic,1,67.56,60,0.1125,4.4715,0.0001,0.1235
512,hebbian,0.97,4,nearest,static,1,150.00,134,0.1970,0.1567,0.0003,0.9388
512,hebbian,0.97,4,nearest,dynamic,1,115.03,107,0.1610,0.1871,0.0002,0.9038
512,hebbian,0.97,4,stochastic,static,1,61.28,53,0.0821,0.1567,0.0001,0.8357
512,hebbian,0.97,4,stochastic,dynamic,1,61.25,53,0.0811,0.1633,0.0002,0.8234
512,hebbian,0.99,32,,,1,159.38,144,0.2415,nan,0.0000,0.0000
512,hebbian,0.99,8,nearest,static,1,164.41,153,0.2470,1.9421,0.0000,0.2941
512,hebbian,0.99,8,nearest,dynamic,1,159.34,153,0.2412,2.9026,0.0001,0.1926
512,hebbian,0.99,8,stochastic,static,1,158.56,144,0.2401,1.9421,0.0000,0.2733
512,hebbian,0.99,8,stochastic,dynamic,1,159.00,144,0.2407,2.8985,0.0001,0.1846
512,hebbian,0.99,4,nearest,static,1,223.34,166,0.2520,0.1070,0.0015,0.9800
512,hebbian,0.99,4,nearest,dynamic,1,110.78,0,0.1589,0.0807,0.0002,0.9835
512,hebbian,0.99,4,stochastic,static,1,115.16,102,0.1412,0.1070,0.0035,0.8902
512,hebbian,0.99,4,stochastic,dynamic,1,82.62,71,0.1005,0.0732,0.0002,0.9213
512,hebbian,0.999,32,,,1,459.91,512,0.4412,nan,0.0000,0.0000
512,hebbian,0.999,8,nearest,static,1,462.09,512,0.4360,0.8770,0.0000,0.4961
512,hebbian,0.999,8,nearest,dynamic,1,458.44,512,0.4380,1.7034,0.0001,0.3206
512,hebbian,0.999,8,stochastic,static,1,453.53,512,0.4275,0.8770,0.0000,0.4558
512,hebbian,0.999,8,stochastic,dynamic,1,456.91,512,0.4344,1.6968,0.0001,0.3009
512,hebbian,0.999,4,nearest,static,1,22.50,0,0.0667,0.0483,0.0000,0.9997
512,hebbian,0.999,4,nearest,dynamic,1,62.97,0,0.0901,0.0494,0.0002,0.9888
512,hebbian,0.999,4,stochastic,static,1,91.38,0,0.1630,0.0483,0.0263,0.9521
512,hebbian,0.999,4,stochastic,dynamic,1,31.75,0,0.1046,0.0421,0.0002,0.9553
512,hebbian,1.0,32,,,1,478.59,512,0.4472,nan,0.0000,0.0000
512,hebbian,1.0,8,nearest,static,1,473.34,512,0.4373,0.7204,0.0000,0.5522
512,hebbian,1.0,8,nearest,dynamic,1,477.03,512,0.4431,1.5564,0.0001,0.3524
512,hebbian,1.0,8,stochastic,static,1,470.16,512,0.4274,0.7204,0.0000,0.5050
512,hebbian,1.0,8,stochastic,dynamic,1,474.56,512,0.4390,1.5509,0.0001,0.3287
512,hebbian,1.0,4,nearest,static,1,13.72,0,0.0356,0.0397,0.0000,0.9999
512,hebbian,1.0,4,nearest,dynamic,1,60.50,0,0.0879,0.0469,0.0002,0.9890
512,hebbian,1.0,4,stochastic,static,1,72.88,0,0.1506,0.0397,0.0366,0.9610
512,hebbian,1.0,4,stochastic,dynamic,1,29.34,0,0.1039,0.0394,0.0002,0.9582
512,delta,0.9,32,,,1,24.06,19,0.0419,nan,0.0000,0.0000
512,delta,0.9,8,nearest,static,1,24.06,19,0.0418,3.7100,0.0000,0.1258
512,delta,0.9,8,nearest,dynamic,1,24.06,19,0.0419,7.1904,0.0001,0.0735
512,delta,0.9,8,stochastic,static,1,24.22,19,0.0418,3.7101,0.0000,0.1242
512,delta,0.9,8,stochastic,dynamic,1,24.09,19,0.0418,7.1887,0.0001,0.0722
512,delta,0.9,4,nearest,static,1,40.97,34,0.0642,0.2089,0.0000,0.8790
512,delta,0.9,4,nearest,dynamic,1,27.22,22,0.0448,0.3777,0.0002,0.7045
512,delta,0.9,4,stochastic,static,1,23.47,17,0.0349,0.2084,0.0000,0.7699
512,delta,0.9,4,stochastic,dynamic,1,24.12,18,0.0381,0.3656,0.0002,0.6338
512,delta,0.97,32,,,1,55.41,48,0.0955,nan,0.0000,0.0000
512,delta,0.97,8,nearest,static,1,55.44,49,0.0954,3.1722,0.0000,0.1818
512,delta,0.97,8,nearest,dynamic,1,55.28,48,0.0954,5.0063,0.0001,0.1157
512,delta,0.97,8,stochastic,static,1,55.38,49,0.0953,3.1727,0.0000,0.1752
512,delta,0.97,8,stochastic,dynamic,1,55.28,48,0.0954,5.0030,0.0001,0.1125
512,delta,0.97,4,nearest,static,1,89.56,82,0.1336,0.1880,0.0001,0.9081
512,delta,0.97,4,nearest,dynamic,1,76.19,68,0.1166,0.2290,0.0002,0.8611
512,delta,0.97,4,stochastic,static,1,51.22,45,0.0728,0.1884,0.0001,0.8061
512,delta,0.97,4,stochastic,dynamic,1,51.47,45,0.0741,0.2040,0.0002,0.7852
512,delta,0.99,32,,,1,98.16,90,0.1612,nan,0.0000,0.0000
512,delta,0.99,8,nearest,static,1,99.06,90,0.1627,2.4764,0.0000,0.2510
512,delta,0.99,8,nearest,dynamic,1,98.00,90,0.1611,3.7379,0.0001,0.1555
512,delta,0.99,8,stochastic,static,1,98.09,90,0.1604,2.4723,0.0000,0.2345
512,delta,0.99,8,stochastic,dynamic,1,98.03,90,0.1609,3.7344,0.0001,0.1496
512,delta,0.99,4,nearest,static,1,129.97,122,0.1775,0.1558,0.0004,0.9405
512,delta,0.99,4,nearest,dynamic,1,130.94,121,0.1720,0.1477,0.0002,0.9444
512,delta,0.99,4,stochastic,static,1,77.38,69,0.1041,0.1712,0.0027,0.8283
512,delta,0.99,4,stochastic,dynamic,1,39.31,29,0.0514,0.1228,0.0002,0.8707
512,delta,0.999,32,,,1,153.53,140,0.2359,nan,0.0000,0.0000
512,delta,0.999,8,nearest,static,1,154.31,141,0.2354,1.8367,0.0000,0.3169
512,delta,0.999,8,nearest,dynamic,1,152.94,136,0.2352,2.8915,0.0001,0.1981
512,delta,0.999,8,stochastic,static,1,152.84,138,0.2335,1.8386,0.0000,0.2960
512,delta,0.999,8,stochastic,dynamic,1,153.41,140,0.2345,2.8898,0.0001,0.1891
512,delta,0.999,4,nearest,static,1,131.84,104,0.1691,0.1075,0.0001,0.9786
512,delta,0.999,4,nearest,dynamic,1,59.62,0,0.1273,0.1129,0.0002,0.9707
512,delta,0.999,4,stochastic,static,1,78.28,64,0.1036,0.1765,0.0211,0.8275
512,delta,0.999,4,stochastic,dynamic,1,2.12,0,0.0035,0.1101,0.0002,0.8843
512,delta,1.0,32,,,1,162.47,144,0.2459,nan,0.0000,0.0000
512,delta,1.0,8,nearest,static,1,161.50,144,0.2444,1.7036,0.0000,0.3336
512,delta,1.0,8,nearest,dynamic,1,161.78,146,0.2449,2.7827,0.0001,0.2055
512,delta,1.0,8,stochastic,static,1,160.53,146,0.2426,1.7111,0.0000,0.3105
512,delta,1.0,8,stochastic,dynamic,1,161.19,144,0.2442,2.7823,0.0001,0.1958
512,delta,1.0,4,nearest,static,1,119.69,94,0.1579,0.0931,0.0000,0.9868
512,delta,1.0,4,nearest,dynamic,1,54.97,0,0.1187,0.1110,0.0001,0.9720
512,delta,1.0,4,stochastic,static,1,71.91,58,0.0979,0.1782,0.0262,0.8267
512,delta,1.0,4,stochastic,dynamic,1,2.44,0,0.0017,0.1095,0.0002,0.8849
512,hebbian,0.9,32,,,2,24.44,19,0.0440,nan,0.0000,0.0000
512,hebbian,0.9,8,nearest,static,2,24.59,20,0.0439,3.3304,0.0000,0.1386
512,hebbian,0.9,8,nearest,dynamic,2,24.47,19,0.0440,6.9296,0.0001,0.0761
512,hebbian,0.9,8,stochastic,static,2,24.47,20,0.0439,3.3304,0.0000,0.1366
512,hebbian,0.9,8,stochastic,dynamic,2,24.44,19,0.0440,6.9292,0.0001,0.0747
512,hebbian,0.9,4,nearest,static,2,49.66,44,0.0756,0.1836,0.0000,0.9053
512,hebbian,0.9,4,nearest,dynamic,2,29.25,24,0.0490,0.3606,0.0002,0.7173
512,hebbian,0.9,4,stochastic,static,2,23.88,19,0.0354,0.1836,0.0000,0.7928
512,hebbian,0.9,4,stochastic,dynamic,2,24.19,19,0.0399,0.3481,0.0002,0.6453
512,hebbian,0.97,32,,,2,67.03,61,0.1125,nan,0.0000,0.0000
512,hebbian,0.97,8,nearest,static,2,67.12,61,0.1124,2.8518,0.0000,0.1960
512,hebbian,0.97,8,nearest,dynamic,2,67.06,61,0.1125,4.4415,0.0001,0.1289
512,hebbian,0.97,8,stochastic,static,2,67.06,61,0.1122,2.8518,0.0000,0.1886
512,hebbian,0.97,8,stochastic,dynamic,2,66.94,61,0.1123,4.4369,0.0001,0.1249
512,hebbian,0.97,4,nearest,static,2,147.09,132,0.1957,0.1572,0.0003,0.9381
512,hebbian,0.97,4,nearest,dynamic,2,114.22,108,0.1606,0.1864,0.0002,0.9041
512,hebbian,0.97,4,stochastic,static,2,60.59,53,0.0822,0.1572,0.0001,0.8351
512,hebbian,0.97,4,stochastic,dynamic,2,59.62,52,0.0804,0.1636,0.0002,0.8232
512,hebbian,0.99,32,,,2,157.88,148,0.2415,nan,0.0000,0.0000
512,hebbian,0.99,8,nearest,static,2,163.00,150,0.2472,1.8968,0.0000,0.3011
512,hebbian,0.99,8,nearest,dynamic,2,157.94,147,0.2412,2.8782,0.0001,0.1959
512,hebbian,0.99,8,stochastic,static,2,157.50,146,0.2399,1.8968,0.0000,0.2792
512,hebbian,0.99,8,stochastic,dynamic,2,157.59,146,0.2406,2.8727,0.0001,0.1872
512,hebbian,0.99,4,nearest,static,2,214.88,143,0.2467,0.1045,0.0012,0.9816
512,hebbian,0.99,4,nearest,dynamic,2,111.09,0,0.1581,0.0810,0.0002,0.9832
512,hebbian,0.99,4,stochastic,static,2,114.66,102,0.1386,0.1045,0.0032,0.8926
512,hebbian,0.99,4,stochastic,dynamic,2,82.84,68,0.0989,0.0737,0.0002,0.9208
512,hebbian,0.999,32,,,2,459.53,512,0.4412,nan,0.0000,0.0000
512,hebbian,0.999,8,nearest,static,2,461.75,512,0.4348,0.8027,0.0000,0.5218
512,hebbian,0.999,8,nearest,dynamic,2,457.97,512,0.4379,1.7023,0.0001,0.3240
512,hebbian,0.999,8,stochastic,static,2,450.84,512,0.4249,0.8027,0.0000,0.4783
512,hebbian,0.999,8,stochastic,dynamic,2,455.66,512,0.4341,1.6980,0.0001,0.3031
512,hebbian,0.999,4,nearest,static,2,18.31,0,0.0507,0.0442,0.0000,0.9998
512,hebbian,0.999,4,nearest,dynamic,2,60.69,0,0.0874,0.0468,0.0002,0.9888
512,hebbian,0.999,4,stochastic,static,2,85.16,0,0.1561,0.0442,0.0225,0.9560
512,hebbian,0.999,4,stochastic,dynamic,2,31.09,0,0.1022,0.0421,0.0002,0.9553
512,hebbian,1.0,32,,,2,479.25,512,0.4472,nan,0.0000,0.0000
512,hebbian,1.0,8,nearest,static,2,474.97,512,0.4358,0.6676,0.0000,0.5749
512,hebbian,1.0,8,nearest,dynamic,2,477.00,512,0.4430,1.5558,0.0001,0.3557
